PARTY,Q2A_C,Q2A_D,Q2A_F,Q2B_A,Q2B_B,Q2B_C,Q2B_D,Q2B_E,Q2B_F,Q2B_G,Q2B_H,Q2B_I,Q2B_J,Q2B_K,Q2B_L,Q2B_M,Q2B_N,Q2B_O,Q2B_P,demFav,Q2A_A,Q2A_B,Q2A_E,repFav,cDemFav,zDemFav,zRepFav
Republican,3,NA,2,2,3,NA,NA,2,3,NA,NA,3,NA,NA,NA,3,NA,NA,NA,2.375,1,3,2,3,0.042138516,0.052567679,1.26601897
Independent,4,NA,2,3,2,2,2,3,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2.555555556,2,2,2,3,0.222694072,0.277810219,1.26601897
Republican,4,NA,2,3,4,4,4,4,4,NA,NA,4,NA,NA,4,4,NA,NA,4,1.25,3,3,2,2.333333333,-1.082861484,-1.350866613,0.428061571
Republican,3,NA,3,2,3,3,3,4,3,3,NA,NA,NA,2,NA,3,NA,2,3,2.153846154,3,2,3,2.333333333,-0.17901533,-0.223321114,0.428061571
Republican,4,NA,2,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1,2,2,3.333333333,-0.832861484,-1.038992326,1.684997669
Independent,3,NA,3,3,3,3,3,2,3,NA,4,NA,2,NA,2,2,NA,2,NA,2.307692308,2,3,3,2.333333333,-0.025169176,-0.031398476,0.428061571
Democrat,1,NA,1,1,2,2,2,1,1,NA,NA,NA,2,NA,NA,2,2,NA,NA,3.454545455,4,3,4,1.333333333,1.121683971,1.399297555,-0.828874527
Republican,4,NA,4,3,4,3,4,4,4,NA,NA,3,3,NA,NA,3,3,NA,3,1.538461538,1,3,2,3,-0.794399945,-0.991011667,1.26601897
Democrat,2,NA,1,2,2,2,1,2,2,NA,2,2,NA,2,2,2,NA,NA,NA,3.153846154,4,3,4,1.333333333,0.82098467,1.024176035,-0.828874527
Other,4,4,4,4,4,4,4,4,4,NA,4,NA,3,NA,NA,4,NA,NA,NA,1.083333333,2,NA,3,2.5,-1.249528151,-1.558782805,0.637550921
Republican,3,NA,4,4,4,3,3,3,1,4,NA,4,NA,NA,4,4,NA,4,NA,1.538461538,4,3,3,1.666666667,-0.794399945,-0.991011667,-0.409895828
Democrat,2,NA,2,2,3,1,2,2,2,NA,NA,3,NA,3,1,NA,NA,NA,NA,2.909090909,4,NA,4,1,0.576229425,0.718844565,-1.247853227
Independent,3,NA,3,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,3,2,2,2.666666667,-0.832861484,-1.038992326,0.84704027
Democrat,2,2,1,1,2,2,1,2,2,NA,2,2,2,NA,NA,NA,2,2,NA,3.214285714,4,NA,4,1,0.88142423,1.099574214,-1.247853227
Independent,4,4,4,3,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.571428571,2,NA,3,2.5,-0.761432912,-0.949885387,0.637550921
Democrat,2,2,2,3,2,NA,2,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3,4,NA,4,1,0.667138516,0.832253397,-1.247853227
Republican,3,NA,2,4,NA,NA,4,3,4,4,3,NA,4,4,NA,NA,NA,NA,4,1.454545455,3,3,3,2,-0.878316029,-1.095696742,0.009082872
Republican,4,4,3,4,NA,NA,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.285714286,2,NA,2,3,-1.047147198,-1.306313144,1.26601897
Republican,4,3,4,3,NA,NA,3,NA,3,3,2,3,NA,NA,NA,3,NA,NA,NA,1.9,2,NA,2,3,-0.432861484,-0.539993467,1.26601897
Other,2,3,2,2,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.857142857,4,NA,3,1.5,0.524281373,0.654039518,-0.619385178
Republican,3,2,2,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,1,NA,2,3.5,0.467138516,0.582753967,1.894487019
Democrat,2,2,1,4,2,NA,NA,1,NA,1,2,NA,NA,NA,NA,1,NA,1,4,3.090909091,4,NA,4,1,0.758047607,0.945662228,-1.247853227
Republican,4,4,3,4,NA,NA,4,4,4,NA,NA,NA,4,4,NA,4,NA,NA,NA,1.1,2,NA,3,2.5,-1.232861484,-1.537991186,0.637550921
Republican,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,4,1,-1.332861484,-1.662740901,-1.247853227
Independent,3,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.666666667,3,3,3,2,0.333805183,0.416421014,0.009082872
Democrat,1,NA,1,1,2,2,2,2,2,NA,2,NA,NA,NA,2,1,NA,2,2,3.307692308,4,2,4,1.666666667,0.974830824,1.216098673,-0.409895828
Independent,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,3,1.5,0.667138516,0.832253397,-0.619385178
Democrat,2,2,2,2,2,2,2,2,2,3,NA,NA,NA,3,NA,2,3,3,NA,2.714285714,4,NA,4,1,0.38142423,0.47582564,-1.247853227
Democrat,1,NA,1,2,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,3,NA,3,2,1.067138516,1.331252256,0.009082872
Independent,2,3,2,1,3,1,2,2,1,3,NA,4,4,NA,3,NA,NA,2,NA,2.642857143,3,NA,2,2.5,0.309995659,0.386718701,0.637550921
Democrat,3,NA,2,2,2,2,2,2,2,NA,4,NA,2,3,NA,NA,3,2,NA,2.615384615,4,3,3,1.666666667,0.282523132,0.352446801,-0.409895828
Democrat,3,2,2,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,3,NA,3,2,0.267138516,0.333254537,0.009082872
Democrat,2,2,1,3,2,2,2,2,1,NA,NA,3,4,NA,NA,NA,NA,4,NA,2.666666667,4,NA,4,1,0.333805183,0.416421014,-1.247853227
Democrat,2,NA,1,1,2,2,2,2,2,NA,3,NA,NA,3,NA,2,3,NA,3,2.846153846,4,4,4,1,0.513292362,0.640330758,-1.247853227
Republican,4,NA,4,4,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,3,-1.332861484,-1.662740901,1.26601897
Republican,2,4,2,1,2,3,3,3,2,NA,3,3,3,NA,NA,NA,NA,4,NA,2.307692308,3,NA,2,2.5,-0.025169176,-0.031398476,0.637550921
Other,3,4,3,3,NA,2,4,4,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1.777777778,2,NA,2,3,-0.555083706,-0.692465341,1.26601897
Democrat,4,3,1,2,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,4,NA,3,1.5,-0.132861484,-0.165744322,-0.619385178
Republican,3,3,3,3,NA,NA,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.714285714,1,NA,2,3.5,-0.61857577,-0.771671509,1.894487019
Republican,4,4,3,3,4,4,4,4,4,NA,NA,4,3,4,NA,4,4,NA,NA,1.214285714,1,NA,2,3.5,-1.11857577,-1.395420083,1.894487019
Independent,3,1,1,2,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.142857143,4,NA,4,1,0.809995659,1.010467275,-1.247853227
Independent,4,3,3,2,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.333333333,4,NA,3,1.5,0.000471849,0.000588631,-0.619385178
Democrat,2,NA,1,2,2,1,1,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,2,3.636363636,4,3,4,1.333333333,1.303502152,1.626115218,-0.828874527
Democrat,2,2,1,2,2,4,2,2,2,2,NA,2,2,NA,NA,NA,NA,2,2,2.928571429,4,NA,4,1,0.595709945,0.743146457,-1.247853227
Independent,NA,3,3,2,4,3,4,4,4,NA,3,NA,NA,NA,NA,3,NA,NA,NA,1.7,4,NA,3,1.5,-0.632861484,-0.789492897,-0.619385178
Independent,2,2,1,1,2,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.142857143,4,NA,3,1.5,0.809995659,1.010467275,-0.619385178
Independent,2,NA,4,3,2,NA,3,2,NA,NA,2,NA,NA,NA,NA,NA,3,2,2,2.5,2,NA,2,3,0.167138516,0.208504822,1.26601897
Democrat,3,NA,2,3,2,1,2,2,2,NA,NA,3,NA,2,2,NA,NA,NA,2,2.833333333,3,3,3,2,0.500471849,0.624337205,0.009082872
Republican,3,NA,3,3,4,4,4,4,4,NA,4,NA,NA,NA,NA,4,NA,NA,3,1.363636364,2,2,2,3,-0.96922512,-1.209105574,1.26601897
Democrat,2,1,1,1,1,1,1,1,1,NA,NA,2,2,NA,NA,2,2,NA,2,3.571428571,4,NA,4,1,1.238567088,1.54510891,-1.247853227
Independent,4,1,2,4,3,3,3,1,1,3,NA,3,NA,NA,3,NA,NA,3,NA,2.384615385,4,NA,4,1,0.051753901,0.064562844,-1.247853227
Republican,4,4,4,4,4,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,4,-1.332861484,-1.662740901,2.522955068
Republican,4,4,4,4,4,4,4,4,4,4,NA,NA,4,NA,NA,4,4,4,NA,1,2,NA,1,3.5,-1.332861484,-1.662740901,1.894487019
Independent,4,NA,4,4,4,4,4,4,3,NA,NA,4,NA,4,4,4,NA,NA,3,1.153846154,1,4,1,3,-1.17901533,-1.470818262,1.26601897
Republican,4,3,4,3,4,3,4,3,4,NA,NA,3,3,NA,3,NA,NA,NA,NA,1.583333333,1,NA,3,3,-0.749528151,-0.935034231,1.26601897
NA,2,NA,1,2,2,1,1,1,1,2,2,NA,2,2,NA,2,NA,NA,NA,3.384615385,4,NA,4,1,1.051753901,1.312059992,-1.247853227
Independent,3,NA,2,2,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25,3,3,3,2,-0.082861484,-0.103369465,0.009082872
Republican,4,NA,4,4,3,4,4,4,4,NA,NA,NA,4,4,NA,4,NA,4,4,1.076923077,2,3,3,2.333333333,-1.255938407,-1.566779582,0.428061571
Independent,3,3,4,4,NA,NA,4,4,4,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1.25,1,NA,2,3.5,-1.082861484,-1.350866613,1.894487019
Republican,3,4,2,3,3,2,2,3,3,NA,3,NA,3,NA,3,NA,3,3,NA,2.142857143,2,NA,2,3,-0.190004341,-0.237029874,1.26601897
Republican,4,NA,4,3,4,3,3,4,4,3,4,4,NA,NA,NA,NA,NA,NA,3,1.416666667,1,NA,2,3.5,-0.916194817,-1.142950422,1.894487019
Republican,4,NA,3,3,3,3,3,4,3,NA,4,NA,NA,3,NA,4,NA,3,3,1.692307692,2,3,3,2.333333333,-0.640553792,-0.799089029,0.428061571
Democrat,4,4,2,2,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,4,1,-0.332861484,-0.415243752,-1.247853227
Independent,4,NA,3,4,NA,NA,NA,4,NA,NA,4,NA,4,NA,NA,NA,4,NA,3,1.25,2,3,3,2.333333333,-1.082861484,-1.350866613,0.428061571
Republican,2,NA,2,3,2,3,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.666666667,2,2,2,3,0.333805183,0.416421014,1.26601897
Independent,2,3,2,2,3,3,2,1,1,NA,3,3,NA,NA,NA,3,NA,2,2,2.714285714,4,NA,2,2,0.38142423,0.47582564,0.009082872
Independent,4,NA,4,2,3,3,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,4,1.666666667,-0.332861484,-0.415243752,-0.409895828
Republican,4,4,3,4,3,4,4,4,4,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1.3,1,NA,3,3,-1.032861484,-1.288491756,1.26601897
Republican,3,NA,3,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,3,2.333333333,-0.332861484,-0.415243752,0.428061571
Republican,3,NA,3,3,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,3,-0.332861484,-0.415243752,1.26601897
Republican,3,NA,3,3,3,3,3,3,3,NA,NA,3,3,3,3,NA,NA,3,NA,2,3,3,3,2,-0.332861484,-0.415243752,0.009082872
Independent,1,NA,1,1,3,1,1,1,2,NA,1,1,NA,NA,1,NA,1,2,NA,3.692307692,4,1,1,3,1.359446208,1.695905269,1.26601897
Democrat,3,2,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,4,NA,3,1.5,1.067138516,1.331252256,-0.619385178
Democrat,2,NA,1,2,2,2,2,1,2,NA,NA,3,NA,NA,NA,3,NA,NA,NA,3,4,3,4,1.333333333,0.667138516,0.832253397,-0.828874527
Independent,2,2,1,2,NA,NA,2,2,1,NA,NA,3,NA,NA,2,NA,NA,NA,NA,3.111111111,4,NA,4,1,0.778249627,0.970864191,-1.247853227
Independent,3,NA,2,3,3,NA,3,4,4,NA,NA,NA,NA,NA,3,3,NA,NA,NA,1.888888889,4,3,3,1.666666667,-0.443972595,-0.553854546,-0.409895828
Democrat,2,2,1,2,2,2,2,2,2,NA,2,NA,NA,2,NA,2,2,NA,2,3.071428571,4,NA,4,1,0.738567088,0.921360336,-1.247853227
Democrat,2,NA,2,2,2,2,2,2,2,2,NA,2,2,2,NA,2,NA,NA,NA,3,4,3,4,1.333333333,0.667138516,0.832253397,-0.828874527
Democrat,2,1,1,2,2,2,2,1,1,NA,NA,2,2,2,NA,NA,NA,2,NA,3.307692308,4,NA,4,1,0.974830824,1.216098673,-1.247853227
Republican,3,4,3,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,2,NA,NA,3,-0.932861484,-1.163742041,1.26601897
Democrat,2,2,3,2,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,3,NA,2,2.888888889,4,NA,2,2,0.556027405,0.693642602,0.009082872
Democrat,2,2,1,2,2,1,1,1,1,3,NA,3,NA,2,NA,3,NA,NA,3,3.071428571,4,NA,4,1,0.738567088,0.921360336,-1.247853227
Democrat,3,NA,2,2,2,2,1,3,3,NA,1,3,4,4,NA,2,NA,NA,NA,2.538461538,4,3,3,1.666666667,0.205600055,0.256485482,-0.409895828
Republican,4,4,4,4,4,3,4,4,4,3,NA,NA,3,NA,3,NA,3,NA,3,1.428571429,2,NA,2,3,-0.904290055,-1.128099266,1.26601897
Republican,4,4,3,3,NA,3,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,1.8,4,NA,3,1.5,-0.532861484,-0.664743182,-0.619385178
Democrat,1,NA,1,2,2,2,1,2,1,NA,2,NA,NA,2,2,2,NA,NA,NA,3.333333333,4,NA,4,1,1.000471849,1.248085779,-1.247853227
Democrat,2,2,2,3,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.833333333,2,NA,2,3,0.500471849,0.624337205,1.26601897
Independent,NA,NA,2,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.333333333,3,NA,NA,2,0.000471849,0.000588631,0.009082872
Democrat,2,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75,4,NA,2,2,1.417138516,1.767876258,0.009082872
Independent,3,2,2,2,2,3,3,3,3,NA,NA,NA,3,2,3,NA,3,NA,3,2.357142857,1,NA,3,3,0.024281373,0.030290944,1.26601897
Democrat,3,1,1,2,3,4,4,2,3,NA,4,NA,4,NA,4,4,4,NA,NA,1.928571429,4,NA,4,1,-0.404290055,-0.504350691,-1.247853227
Independent,4,NA,1,3,2,3,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.625,4,2,4,1.666666667,0.292138516,0.364441966,-0.409895828
Democrat,1,NA,1,3,2,2,2,3,2,2,NA,4,3,NA,NA,NA,2,NA,2,2.769230769,4,3,4,1.333333333,0.436369285,0.544369439,-0.828874527
Republican,4,NA,4,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,4,2,-1.332861484,-1.662740901,0.009082872
Independent,2,2,1,2,2,2,2,2,2,NA,2,2,NA,2,2,NA,NA,NA,2,3.071428571,2,NA,2,3,0.738567088,0.921360336,1.26601897
Republican,4,4,3,3,4,4,4,4,4,NA,NA,4,NA,NA,4,NA,NA,NA,NA,1.181818182,2,NA,2,3,-1.151043302,-1.435923237,1.26601897
Independent,4,4,3,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.111111111,2,NA,3,2.5,-1.221750373,-1.524130106,0.637550921
Democrat,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,NA,NA,NA,NA,4,2,1,1,3.666666667,1.667138516,2.079750545,2.103976369
Republican,3,NA,4,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,3,-0.332861484,-0.415243752,1.26601897
Independent,2,2,1,2,2,2,2,2,2,NA,2,NA,NA,2,2,3,2,NA,NA,3,4,NA,4,1,0.667138516,0.832253397,-1.247853227
Democrat,1,1,1,2,2,2,2,2,1,NA,NA,3,NA,3,NA,NA,3,4,4,2.785714286,4,NA,4,1,0.452852802,0.564932579,-1.247853227
Other,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.666666667,2,NA,2,3,0.333805183,0.416421014,1.26601897
Democrat,3,NA,1,4,3,3,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.375,4,3,3,1.666666667,0.042138516,0.052567679,-0.409895828
Republican,4,NA,3,3,4,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.333333333,2,2,3,2.666666667,-0.999528151,-1.246908518,0.84704027
Independent,4,NA,4,4,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,1,NA,NA,4,-0.532861484,-0.664743182,2.522955068
Republican,4,NA,2,2,NA,NA,3,4,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1,NA,3,3,-0.332861484,-0.415243752,1.26601897
Republican,4,NA,3,3,3,2,4,4,4,NA,3,2,NA,3,NA,NA,NA,NA,NA,1.818181818,2,3,3,2.333333333,-0.514679666,-0.642061415,0.428061571
Democrat,1,NA,1,1,NA,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.428571429,4,3,3,1.666666667,1.095709945,1.366895032,-0.409895828
Republican,3,NA,3,2,3,2,3,4,3,NA,3,3,NA,NA,NA,NA,NA,NA,NA,2.1,2,2,2,3,-0.232861484,-0.290494037,1.26601897
Democrat,1,2,1,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.222222222,4,NA,2,2,0.889360738,1.109474985,0.009082872
Independent,2,NA,3,2,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,4,3,3,1.666666667,0.467138516,0.582753967,-0.409895828
Republican,4,4,4,3,4,4,4,4,4,NA,4,NA,4,4,NA,NA,3,NA,3,1.214285714,1,NA,2,3.5,-1.11857577,-1.395420083,1.894487019
Democrat,3,NA,1,1,2,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3.222222222,4,2,2,2.333333333,0.889360738,1.109474985,0.428061571
Independent,4,4,3,3,NA,NA,4,4,4,NA,4,NA,NA,NA,NA,3,NA,NA,NA,1.333333333,2,NA,3,2.5,-0.999528151,-1.246908518,0.637550921
Democrat,2,NA,2,2,NA,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.714285714,4,3,3,1.666666667,0.38142423,0.47582564,-0.409895828
Democrat,NA,NA,1,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,4,NA,NA,1,0.167138516,0.208504822,-1.247853227
Independent,4,4,4,4,4,4,4,4,4,NA,4,NA,NA,4,4,NA,NA,NA,NA,1,1,NA,2,3.5,-1.332861484,-1.662740901,1.894487019
Democrat,1,NA,2,3,3,3,2,2,3,3,3,NA,NA,NA,3,3,3,NA,NA,2.384615385,3,3,2,2.333333333,0.051753901,0.064562844,0.428061571
Independent,4,NA,2,2,3,2,4,4,4,NA,NA,3,NA,NA,2,NA,3,NA,NA,2,3,NA,3,2,-0.332861484,-0.415243752,0.009082872
Republican,4,NA,4,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,3,-1.332861484,-1.662740901,1.26601897
Democrat,2,2,1,2,2,1,2,2,1,NA,NA,2,2,NA,2,2,NA,3,NA,3.142857143,4,NA,4,1,0.809995659,1.010467275,-1.247853227
Independent,4,NA,4,4,4,4,4,4,4,NA,NA,NA,4,4,NA,NA,4,4,4,1,3,4,4,1.333333333,-1.332861484,-1.662740901,-0.828874527
Democrat,3,NA,2,2,3,2,2,2,3,NA,NA,3,3,NA,3,NA,3,NA,2,2.461538462,3,3,3,2,0.128676978,0.160524163,0.009082872
Republican,4,NA,4,4,4,NA,4,4,4,NA,NA,4,NA,NA,NA,4,NA,NA,NA,1,1,NA,2,3.5,-1.332861484,-1.662740901,1.894487019
Democrat,1,1,1,1,2,2,1,2,2,NA,1,NA,NA,2,NA,NA,NA,NA,3,3.416666667,4,NA,4,1,1.083805183,1.352043875,-1.247853227
Independent,2,NA,1,4,NA,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.142857143,4,NA,4,1,0.809995659,1.010467275,-1.247853227
Democrat,4,NA,1,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.75,4,3,4,1.333333333,0.417138516,0.520379109,-0.828874527
Republican,4,NA,4,3,4,4,4,4,4,NA,4,NA,4,3,3,4,NA,NA,NA,1.230769231,1,3,2,3,-1.102092253,-1.374856943,1.26601897
Democrat,2,NA,1,2,2,1,2,1,1,NA,2,2,1,NA,NA,NA,2,NA,NA,3.416666667,4,2,4,1.666666667,1.083805183,1.352043875,-0.409895828
Republican,4,4,4,4,4,4,4,4,4,4,NA,NA,4,NA,4,4,NA,4,NA,1,1,NA,4,2.5,-1.332861484,-1.662740901,0.637550921
Independent,2,NA,1,4,2,2,2,1,2,NA,1,2,NA,NA,NA,2,NA,3,NA,3,4,4,4,1,0.667138516,0.832253397,-1.247853227
Democrat,2,2,1,2,2,1,2,2,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,3.3,4,NA,4,1,0.967138516,1.206502541,-1.247853227
Independent,4,NA,1,2,3,NA,2,1,1,NA,NA,4,4,3,3,2,NA,NA,NA,2.5,3,4,3,1.666666667,0.167138516,0.208504822,-0.409895828
Other,3,NA,2,2,2,2,1,1,1,NA,NA,NA,2,NA,2,NA,NA,NA,2,3.181818182,4,2,4,1.666666667,0.848956698,1.05907106,-0.409895828
Independent,4,NA,2,4,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,4,NA,NA,1,-0.132861484,-0.165744322,-1.247853227
Democrat,2,NA,1,2,2,1,2,2,2,NA,NA,NA,2,2,2,NA,2,2,NA,3.153846154,4,2,4,1.666666667,0.82098467,1.024176035,-0.409895828
Republican,4,NA,4,4,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,2,NA,NA,3,-1.082861484,-1.350866613,1.26601897
Independent,3,NA,3,4,2,4,4,1,3,3,NA,NA,3,3,NA,NA,3,3,NA,2,3,3,3,2,-0.332861484,-0.415243752,0.009082872
Independent,4,NA,4,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,4,1,-1.332861484,-1.662740901,-1.247853227
Democrat,3,2,2,2,2,4,2,1,2,NA,4,2,4,NA,NA,NA,NA,NA,NA,2.5,4,NA,4,1,0.167138516,0.208504822,-1.247853227
Democrat,2,NA,1,1,2,2,1,1,2,3,NA,NA,NA,1,NA,2,NA,NA,NA,3.363636364,4,3,4,1.333333333,1.03077488,1.285888723,-0.828874527
Independent,3,NA,2,2,3,NA,2,2,3,NA,NA,NA,NA,3,NA,3,NA,NA,NA,2.444444444,4,3,4,1.333333333,0.111582961,0.139199425,-0.828874527
Democrat,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,2,NA,NA,3.2,4,2,3,2,0.867138516,1.081752826,0.009082872
Republican,4,NA,4,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75,2,3,3,2.333333333,-0.582861484,-0.727118039,0.428061571
Democrat,3,NA,2,2,NA,NA,2,1,2,NA,2,3,NA,NA,NA,NA,NA,NA,NA,2.875,4,3,3,1.666666667,0.542138516,0.676316253,-0.409895828
Other,3,4,3,3,NA,NA,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.428571429,2,NA,3,2.5,-0.904290055,-1.128099266,0.637550921
Republican,2,NA,2,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,2,2.5,0.667138516,0.832253397,0.637550921
Independent,2,2,1,2,2,2,2,2,2,NA,NA,NA,NA,NA,2,2,NA,NA,NA,3.090909091,4,NA,4,1,0.758047607,0.945662228,-1.247853227
Independent,2,3,2,1,2,1,3,3,2,NA,2,NA,NA,3,NA,3,3,NA,NA,2.692307692,4,NA,4,1,0.359446208,0.44840812,-1.247853227
Republican,4,4,4,4,4,4,4,4,4,NA,4,NA,2,4,4,NA,NA,NA,4,1.142857143,1,NA,2,3.5,-1.190004341,-1.484527022,1.894487019
Independent,4,NA,2,2,4,NA,4,NA,4,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1.571428571,2,3,2,2.666666667,-0.761432912,-0.949885387,0.84704027
Democrat,2,NA,2,2,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,2,2,0.667138516,0.832253397,0.009082872
Other,4,NA,4,4,4,4,4,4,4,NA,NA,4,4,4,NA,NA,NA,NA,4,1,1,NA,2,3.5,-1.332861484,-1.662740901,1.894487019
Independent,3,NA,2,1,3,4,4,2,2,NA,4,4,NA,NA,NA,NA,NA,4,NA,2,4,3,4,1.333333333,-0.332861484,-0.415243752,-0.828874527
Republican,3,3,2,3,NA,NA,NA,3,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2.285714286,3,NA,2,2.5,-0.047147198,-0.058815995,0.637550921
Democrat,2,2,1,2,3,2,4,2,2,3,NA,NA,3,3,NA,NA,3,3,NA,2.5,4,NA,4,1,0.167138516,0.208504822,-1.247853227
Democrat,4,2,1,4,4,4,1,4,4,4,NA,NA,NA,4,4,NA,4,NA,4,1.571428571,4,NA,3,1.5,-0.761432912,-0.949885387,-0.619385178
Democrat,1,2,1,1,2,2,2,1,1,NA,2,NA,NA,2,NA,NA,1,3,NA,3.384615385,4,NA,4,1,1.051753901,1.312059992,-1.247853227
Democrat,3,2,1,3,NA,2,3,2,2,4,3,NA,NA,NA,3,3,NA,NA,NA,2.416666667,3,NA,3,2,0.083805183,0.104546727,0.009082872
Independent,2,2,1,1,4,2,4,4,1,3,NA,2,NA,2,3,NA,NA,2,NA,2.642857143,4,NA,4,1,0.309995659,0.386718701,-1.247853227
Independent,3,NA,3,2,3,3,3,3,3,2,3,NA,NA,NA,3,3,NA,3,NA,2.153846154,2,3,3,2.333333333,-0.17901533,-0.223321114,0.428061571
