PARTY,Q2A_C,Q2A_D,Q2A_F,Q2B_A,Q2B_B,Q2B_C,Q2B_D,Q2B_E,Q2B_F,Q2B_G,Q2B_H,Q2B_I,Q2B_J,Q2B_K,Q2B_L,Q2B_M,Q2B_N,Q2B_O,Q2B_P,demFav,Q2A_A,Q2A_B,Q2A_E,repFav,cDemFav,zDemFav,zRepFav
Independent,3,NA,1,NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2.4,4,NA,NA,1,0.067138516,0.083755107,-1.247853227
Democrat,NA,NA,1,1,3,3,3,1,2,3,NA,3,3,NA,NA,3,NA,3,NA,2.583333333,4,NA,NA,1,0.250471849,0.312462918,-1.247853227
Democrat,1,NA,1,2,2,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.625,4,NA,4,1,1.292138516,1.611939115,-1.247853227
Democrat,2,2,1,2,1,2,2,2,1,NA,2,NA,NA,NA,2,3,NA,3,2,3.071428571,3,NA,4,1.5,0.738567088,0.921360336,-0.619385178
Republican,4,NA,4,4,4,4,4,4,4,NA,4,4,4,NA,NA,NA,NA,NA,4,1,1,4,4,2,-1.332861484,-1.662740901,0.009082872
Democrat,2,NA,1,1,1,1,3,1,1,NA,3,4,NA,NA,NA,NA,NA,2,2,3.166666667,4,4,3,1.333333333,0.833805183,1.040169588,-0.828874527
Democrat,2,3,1,1,3,2,2,2,2,NA,NA,3,NA,NA,2,NA,2,2,NA,2.923076923,4,NA,4,1,0.590215439,0.736292077,-1.247853227
Independent,2,2,2,1,1,2,2,1,2,NA,NA,NA,NA,2,NA,2,NA,1,1,3.384615385,4,NA,3,1.5,1.051753901,1.312059992,-0.619385178
Democrat,3,NA,1,3,NA,2,2,1,1,NA,NA,3,2,3,1,NA,NA,NA,NA,3,4,3,4,1.333333333,0.667138516,0.832253397,-0.828874527
Independent,1,1,1,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3.857142857,4,NA,4,1,1.524281373,1.901536667,-1.247853227
Independent,2,NA,1,2,4,1,4,4,2,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2.4,4,3,3,1.666666667,0.067138516,0.083755107,-0.409895828
Independent,2,3,1,2,3,2,3,3,3,NA,NA,NA,NA,3,3,2,NA,NA,4,2.384615385,4,NA,4,1,0.051753901,0.064562844,-1.247853227
Independent,2,NA,2,NA,4,2,4,4,3,4,NA,NA,3,NA,2,NA,2,4,NA,2,4,2,3,2,-0.332861484,-0.415243752,0.009082872
